"temperature","precipitation","topWorn","bottomsWorn"
"40","yes","sweatshirt","jeans"
"43","no","long sleeve","sweatpants"
"39","no","sweatshirt","sweatpants"
"39","no","sweatshirt","leggings"
"40","no","sweater","jeans"
"43","no","long sleeve","jeans"
"44","no","sweater","sweatpants"
"40","yes","sweatshirt","sweatpants"
"37","yes","long sleeve","jeans"
"43","no","sweatshirt","leggings"
"44","no","sweater","sweatpants"
"46","no","long sleeve","jeans"
"45","no","long sleeve","leggings"
"46","no","sweatshirt","jeans"
"50","no","long sleeve","leggings"
"54","no","sweatshirt","jeans"
"49","yes","long sleeve","sweatpants"
"53","no","long sleeve","sweatpants"
"58","no","sweatshirt","leggings"
"59","no","sweater","sweatpants"
"56","no","long sleeve","leggings"
"60","yes","sweatshirt","jeans"
"61","no","sweatshirt","leggings"
"48","no","long sleeve","jeans"
"52","yes","long sleeve","sweatpants"
"53","no","long sleeve","jeans"
"56","yes","long sleeve","sweatpants"
"58","no","long sleeve","leggings"
"58","no","short sleeve","leggings"
"59","yes","long sleeve","jeans"
"60","no","short sleeve","leggings"
"62","no","sweatshirt","leggings"
"58","yes","long sleeve","jeans"
"63","no","sweatshirt","leggings"
"60","no","long sleeve","jeans"
"59","yes","sweatshirt","sweatpants"
"58","no","long sleeve","sweatpants"
"64","no","short sleeve","leggings"
"65","no","sweatshirt","leggings"
"65","yes","sweatshirt","sweatpants"
"62","no","sweatshirt","leggings"
"66","no","short sleeve","jeans"
"67","no","sweatshirt","jeans"
"69","no","sweatshirt","leggings"
"66","no","long sleeve","leggings"
"64","no","sweatshirt","leggings"
"68","no","short sleeve","jeans"
"71","no","short sleeve","jeans"
"74","no","short sleeve","shorts"
"72","no","short sleeve","jeans"
"70","no","long sleeve","jeans"
"67","no","sweatshirt","leggings"
"64","no","long sleeve","jeans"
"73","no","short sleeve","shorts"
"73","no","short sleeve","jeans"
"65","no","long sleeve","leggings"
"64","yes","sweatshirt","leggings"
"63","yes","long sleeve","jeans"
"71","yes","sweatshirt","sweatpants"
"65","no","short sleeve","jeans"
"58","no","sweatshirt","sweatpants"
"59","no","sweatshirt","leggings"
"64","no","long sleeve","leggings"
"67","no","short sleeve","sweatpants"
"72","no","short sleeve","leggings"
"73","no","short sleeve","sweatpants"
"70","no","short sleeve","leggings"
"69","yes","short sleeve","sweatpants"
"77","no","tank top","skirt"
"74","no","short sleeve","jeans"
"71","no","short sleeve","sweatpants"
"70","no","sweatshirt","sweatpants"
"72","no","short sleeve","jeans"
"79","no","tank top","shorts"
"78","no","tank top","shorts"
"72","yes","long sleeve","sweatpants"
"82","no","tank top","skirt"
"81","no","tank top","shorts"
"74","yes","long sleeve","sweatpants"
"71","no","short sleeve","leggings"
"72","no","short sleeve","shorts"
"78","no","short sleeve","shorts"
"72","yes","sweatshirt","leggings"
"76","yes","long sleeve","leggings"
"86","no","tank top","shorts"
"83","no","tank top","shorts"
"81","no","short sleeve","shorts"
"81","no","short sleeve","shorts"
"79","no","tank top","shorts"
"72","yes","short sleeve","sweatpants"
"70","yes","sweatshirt","jeans"
"82","no","tank top","shorts"
"83","no","tank top","shorts"
"84","yes","short sleeve","shorts"
"89","no","tank top","shorts"
"88","no","tank top","skirt"
"90","no","tank top","shorts"
"95","no","short sleeve","shorts"
"98","no","tank top","shorts"
"101","no","tank top","skirt"